fips,votes.dem,votes.rep,votes.other,total,share.dem,share.rep,share.other,Y
6063,4003,5221,0,9224,0.43397658282740675,0.5660234171725932,0,0.26564487441797874
6065,343891,289550,0,633441,0.5428934975790958,0.4571065024209042,0,-0.17199675302559927
6067,351612,137314,0,488926,0.7191517734790132,0.28084822652098684,0,-0.940258020849032
6071,216428,289774,0,506202,0.42755263708954133,0.5724473629104587,0,0.291843380194884
6073,706248,430182,0,1136430,0.6214619466223172,0.37853805337768276,0,-0.49575807564414764
6075,306924,48267,0,355191,0.8641097325101142,0.13589026748988572,0,-1.8498520625996393
6077,105086,87498,0,192584,0.5456631911269887,0.45433680887301126,0,-0.183163126580624
6079,68115,57454,0,125569,0.5424507641217179,0.45754923587828206,0,-0.17021282558548856
6081,221148,61178,0,282326,0.7833072405658706,0.21669275943412933,0,-1.285044512871193
6083,95865,59051,0,154916,0.618819231067159,0.38118076893284103,0,-0.48453947446935947
6085,449215,154033,791,604039,0.743685424285518,0.25500505762045167,0.0013095180940303523,-1.070334749832884
6087,96453,7274,12717,116444,0.8283209096217925,0.06246779567860946,0.10921129469959809,-2.584749496502282
6089,24755,45308,0,70063,0.35332486476456904,0.646675135235431,0,0.6044561285250808
6091,707,956,0,1663,0.42513529765484065,0.5748647023451593,0,0.30172724715482857
6093,8391,9792,0,18183,0.4614750041247319,0.5385249958752681,0,0.15440602288203797
6095,95638,37498,10359,143495,0.6664901216070246,0.261319209728562,0.0721906686644134,-0.9362826323983063
6097,160389,20028,21387,201804,0.7947761194029851,0.09924481179758578,0.10597906879942914,-2.0804708200594835
6099,81392,75346,0,156738,0.5192869629572918,0.48071303704270824,0,-0.07718615001752595
6101,13572,16108,0,29680,0.457277628032345,0.5427223719676549,0,0.17130719606722394
6103,7021,13885,0,20906,0.33583660193245957,0.6641633980675404,0,0.6819034627236511
6105,2604,2647,0,5251,0.4959055418015616,0.5040944581984383,0,0.016378198898641456
6107,44885,54606,0,99491,0.4511463348443578,0.5488536651556423,0,0.19604010361462176
6109,10596,13221,0,23817,0.4448923038166016,0.5551076961833984,0,0.22132990311813633
6111,183753,122351,0,306104,0.6002959778375977,0.3997040221624023,0,-0.4066985013616064
6113,55939,15479,0,71418,0.7832619227645692,0.21673807723543084,0,-1.2847775447262588
6115,8044,10946,0,18990,0.42359136387572405,0.576408636124276,0,0.30804762081132087
8001,97012,66401,7401,170814,0.567939396068238,0.3887327736602386,0.04332783027152341,-0.37912256558202456
8003,2875,2977,236,6088,0.47224047306176087,0.4889947437582129,0.03876478318002628,0.034863407784325534
8005,154740,108926,8026,271692,0.5695419813612473,0.4009172150817838,0.02954080355696892,-0.3510775365310712
8007,2635,3850,334,6819,0.38642029623111895,0.5645989147968911,0.04898078897199003,0.37918996630636725
8009,320,1543,0,1863,0.17176596886741816,0.8282340311325819,0,1.5731628565693887
8011,651,1208,0,1859,0.35018827326519636,0.6498117267348037,0,0.6182117362861911
8013,130071,38116,6247,174434,0.7456745817902473,0.21851244596810254,0.035812972241650136,-1.2274463137280633
8014,20290,13019,2340,35649,0.5691604252573704,0.3651995848410895,0.06563998990154002,-0.4437183249224634
8015,5506,5035,347,10888,0.5056943423952975,0.46243570903747244,0.03186994856722998,-0.0894248805498899
8017,130,853,0,983,0.13224821973550355,0.8677517802644964,0,1.8812250970360966
8019,2847,2062,409,5318,0.5353516359533659,0.38773975178638587,0.07690861226024821,-0.3225894227011323
8021,1547,1888,125,3560,0.4345505617977528,0.5303370786516854,0.0351123595505618,0.19920049613237997
8023,1043,527,75,1645,0.6340425531914894,0.3203647416413374,0.04559270516717325,-0.6826559064594102
8025,412,980,0,1392,0.2959770114942529,0.7040229885057471,0,0.8665292223150911
8027,799,1944,145,2888,0.27666204986149584,0.6731301939058172,0.05020775623268698,0.8891420392541097
8029,4543,9958,688,15189,0.29909803147014286,0.6556060306800975,0.045295937849759695,0.7847886614427246
8031,239280,57186,9583,306049,0.7818355884188479,0.18685243212688166,0.031311979454270396,-1.4313253011381488
8033,257,878,64,1199,0.21434528773978315,0.7322768974145121,0.05337781484570475,1.2285705087398968
8035,73450,101124,1406,175980,0.41737697465621093,0.5746334810773952,0.007989544266393908,0.3197425839583304
8037,13308,7935,949,22192,0.5996755587599135,0.3575612833453497,0.04276315789473684,-0.517082004177858
8039,3404,11170,0,14574,0.23356662549746124,0.7664333745025388,0,1.1882804023699816
8041,109510,155070,10058,274638,0.3987430726993351,0.5646341729840736,0.036622754316591295,0.34786075858838994
8043,5972,12752,774,19498,0.30628782439224533,0.6540157964919479,0.03969637911580675,0.7586062423709152
8045,11410,11836,921,24167,0.472131418876981,0.4897587619481111,0.03810981917490793,0.036655570663979044
8047,1732,1304,305,3341,0.518407662376534,0.39030230469919186,0.09129003292427416,-0.28384034663578217
8049,3328,3609,654,7591,0.43841391121064416,0.4754314319588987,0.08615465683045712,0.08105920270168945
8051,5383,2991,418,8792,0.6122611464968153,0.34019563239308465,0.04754322111010009,-0.5876380599310091
8053,211,321,26,558,0.3781362007168459,0.5752688172043011,0.04659498207885305,0.4195829896539494
8055,1638,1764,234,3636,0.4504950495049505,0.48514851485148514,0.06435643564356436,0.074107972153721835
8057,138,599,39,776,0.17783505154639176,0.7719072164948454,0.05025773195876289,1.4680079129582446
8059,173265,118773,12572,304610,0.5688092971340403,0.3899182561307902,0.04127244673516956,-0.37760810603784156
8061,96,671,0,767,0.12516297262059975,0.8748370273794003,0,1.9444209455038455
8063,515,2559,0,3074,0.1675341574495771,0.8324658425504229,0,1.6032049354960527
8065,1645,1057,158,2860,0.5751748251748252,0.3695804195804196,0.05524475524475524,-0.4423056773292346
8067,15556,11586,1353,28495,0.5459203369012108,0.4065976487103001,0.04748201438848921,-0.2946489436190684
8069,92787,72558,11443,176788,0.5248489716496595,0.410423784419757,0.06472724393058353,-0.2459203017410757
8071,2999,3231,0,6230,0.48138041733547354,0.5186195826645265,0,0.07451278707548915
8073,373,1708,0,2081,0.17924074963959635,0.8207592503604036,0,1.5214999547046997
8075,1863,6667,0,8530,0.21840562719812426,0.7815943728018757,0,1.2749818920164715
8077,21460,42483,3755,67698,0.31699607078495673,0.6275370025702384,0.05546692664480487,0.682913258706479
8079,246,326,29,601,0.40931780366056575,0.5424292845257903,0.048252911813643926,0.2815658454343448
8081,842,4347,207,5396,0.15604151223128243,0.8055967383246849,0.03836174944403262,1.6414612167464653
8083,4275,6943,553,11771,0.3631806983263954,0.5898394359017926,0.04697986577181208,0.4849498553824128
8085,5388,12767,874,19029,0.2831467759735141,0.6709233275526828,0.04592989647380314,0.8626894582900962
8087,2927,7680,0,10607,0.2759498444423494,0.7240501555576506,0,0.964641539449832
8089,2892,4558,0,7450,0.38818791946308723,0.6118120805369127,0,0.4549356265269742
8091,1826,1278,118,3222,0.5667287399130975,0.39664804469273746,0.03662321539416512,-0.35683142621743374
8093,3474,5350,573,9397,0.3696924550388422,0.56933063743748,0.06097690752367777,0.43178989308900195
8095,398,1634,0,2032,0.19586614173228348,0.8041338582677166,0,1.4123342701355104
8097,7150,2446,251,9847,0.7261094749669951,0.24840052807961815,0.02548999695338682,-1.0726583194409358
8099,1097,3036,0,4133,0.2654246310186305,0.7345753689813694,0,1.0179616782402903
8101,30541,31787,4324,66652,0.45821580747764507,0.47690992018244016,0.06487427233991479,0.039987357974341435
8103,396,2544,113,3053,0.12970848345889288,0.8332787422207665,0.03701277432034065,1.860078713205532
8105,1804,2936,206,4946,0.36473918317832593,0.5936109987868985,0.041649818034775576,0.4870416891118372
8107,8353,4603,473,13429,0.6220120634447837,0.3427656564152208,0.03522228013999553,-0.5959124909386648
8109,1502,1052,121,2675,0.5614953271028037,0.3932710280373832,0.045233644859813085,-0.35610443902642486
8111,264,172,21,457,0.5776805251641138,0.37636761487964987,0.045951859956236324,-0.42845462633286313
8113,3032,937,128,4097,0.7400536978276788,0.22870392970466194,0.031242372467659263,-1.17429446452384
8115,269,935,0,1204,0.223421926910299,0.776578073089701,0,1.245835149686848
8117,8835,4068,1056,13959,0.6329249946271223,0.29142488716956805,0.07565011820330969,-0.7755696275853462
8119,4042,8375,431,12848,0.3146014943960149,0.6518524283935243,0.033546077210460774,0.7285114587297008
8121,275,2129,0,2404,0.11439267886855241,0.8856073211314476,0,2.046636567226908
8123,47727,77310,0,125037,0.38170301590729144,0.6182969840927086,0,0.48232603784117106
