Dist,GOPVote,DemVote,OtherVote,stateID,VID,PVI_GOP_State,PVI_GOP,TotPop,Black,BlackPct,White,WhitePct,Hispanic,HispanicPct,Female,FemalePct,Under35,Under35Pct,AtLeast65,AtLeast65Pct,MedianHHInc,Unemployed,BachelorDegreeOrHigher
FL-11,316979,158094,0,8,1,2,15,813112,59904,0.073672508,703430,0.865108374,96315,0.118452317,418403,0.514569949,242521,0.298262724,304733,0.374773709,52749,5.6,23.5
FL-12,284941,168194,0,8,1,2,8,811308,44759,0.055168937,700266,0.863132127,113913,0.140406603,421531,0.519569633,296092,0.364956342,199092,0.245396323,56761,4.3,28.4
FL-13,190713,215405,0,8,1,2,-2,731658,88347,0.120749038,577591,0.789427574,79210,0.108260963,376319,0.5143373,260639,0.356230643,175833,0.240321298,56612,5.2,33
FL-14,147896,224240,0,8,1,2,-7,831508,158038,0.190061912,570683,0.686322922,273316,0.328699183,416618,0.501039076,398271,0.478974345,112150,0.134875431,60022,4.2,38.5
FL-15,216374,174297,0,8,1,2,6,801294,113234,0.141313925,592165,0.7390109,190656,0.23793514,413228,0.515700854,352053,0.439355592,132043,0.164787207,57496,4.2,25.8
FL-16,269001,215683,0,8,1,2,7,873875,84474,0.096665999,718753,0.822489486,154606,0.17692004,455283,0.520993277,309341,0.353987698,239901,0.274525533,68071,5.1,33.1
FL-17,265514,140487,5396,8,1,2,13,804754,60802,0.075553523,689915,0.857299249,135320,0.168150764,406780,0.505471237,261806,0.325324261,263863,0.327880321,53693,4.9,23
FL-18,253286,186674,9760,8,1,2,5,795742,101978,0.128154603,633471,0.796075864,139608,0.1754438,407864,0.51255809,288194,0.362170151,209875,0.263747546,68744,4.3,32.3
FL-19,272440,172146,0,8,1,2,13,833013,64865,0.077867932,707780,0.84966261,170559,0.204749506,425071,0.510281352,270246,0.324419907,271415,0.325823246,67598,3.8,33.8
FL-20,68748,253661,0,8,1,2,-31,802463,424842,0.52942254,307837,0.383615195,214781,0.267652216,412120,0.51356885,381657,0.475606975,112775,0.140536075,49223,7.2,20.8
